Question,CarRelated
"What is the capital of Kenya?", "Not car related"
"Who painted 'The Persistence of Memory'?", "Not car related"
"What is the largest animal on land?", "Not car related"
"What is the name of the longest river in Asia?", "Not car related"
"Who wrote 'Moby Dick'?", "Not car related"
"What is the capital city of Greece?", "Not car related"
"Who invented the first successful steam engine?", "Not car related"
"What is the hardest natural substance on Earth?", "Not car related"
"Who composed the 'Brandenburg Concertos'?", "Not car related"
"What is the capital of Norway?", "Not car related"
"What is the most widely spoken language in the world?", "Not car related"
"Who was the famous leader of the Mongol Empire?", "Not car related"
"What is the chemical symbol for platinum?", "Not car related"
"What is the smallest country in South America?", "Not car related"
"Who painted 'The Scream'?", "Not car related"
"What is the largest volcano in the solar system?", "Not car related"
"What is the name of the galaxy we live in?", "Not car related"
"Who was the first woman to win a Nobel Prize?", "Not car related"
"What is the capital city of Iceland?", "Not car related"
"What is the longest river in South America?", "Not car related"
"Who is known for developing the polio vaccine?", "Not car related"
"What is the largest desert in Asia?", "Not car related"
"What is the chemical symbol for sodium?", "Not car related"
"Who wrote 'Les Misérables'?", "Not car related"
"What is the capital of New Zealand?", "Not car related"
"What is the smallest planet in our solar system?", "Not car related"
"Who composed the 'Symphony No. 9'?", "Not car related"
"What is the capital city of Turkey?", "Not car related"
"What is the most abundant element in the Earth's atmosphere?", "Not car related"
"Who discovered electricity?", "Not car related"
"What is the name of the largest moon of Saturn?", "Not car related"
"What is the capital of Sweden?", "Not car related"
"Who wrote 'Dracula'?", "Not car related"
"What is the largest city in the United Kingdom?", "Not car related"
"What is the chemical symbol for uranium?", "Not car related"
"Who was the famous playwright of 'Romeo and Juliet'?", "Not car related"
"What is the deepest lake in the world?", "Not car related"
"What is the capital of South Africa?", "Not car related"
"Who was the first person to win two Nobel Prizes?", "Not car related"
"What is the largest city in Canada by population?", "Not car related"
"What is the chemical formula for glucose?", "Not car related"
"Who composed the 'Rite of Spring'?", "Not car related"
"What is the capital city of Belgium?", "Not car related"
"What is the smallest bone in the human body?", "Not car related"
"Who was the first person to win the Nobel Prize in Literature?", "Not car related"
"What is the largest island in the Mediterranean Sea?", "Not car related"
"What is the chemical symbol for lead?", "Not car related"
"Who wrote 'The Picture of Dorian Gray'?", "Not car related"
"What is the largest city in Australia by population?", "Not car related"
"What is the capital city of the Netherlands?", "Not car related"
"Who was the first person to climb Mount Everest?", "Not car related"
"What is the chemical symbol for zinc?", "Not car related"
"What is the largest mountain in Africa?", "Not car related"
"What is the capital of Portugal?", "Not car related"
"Who wrote 'Brave New World'?", "Not car related"
"What is the most spoken language in South America?", "Not car related"
"Who was the leader of the Soviet Union during the Cuban Missile Crisis?", "Not car related"
"What is the largest city in the United States by area?", "Not car related"
"What is the chemical symbol for calcium?", "Not car related"
"Who composed the 'The Four Seasons'?", "Not car related"
"What is the capital city of Chile?", "Not car related"
"What is the longest river in Europe?", "Not car related"
"Who was the first person to circumnavigate the globe?", "Not car related"
"What is the chemical symbol for magnesium?", "Not car related"
"What is the capital city of Finland?", "Not car related"
"Who wrote 'War and Peace'?", "Not car related"
"What is the largest ocean in the world?", "Not car related"
"What is the chemical symbol for phosphorus?", "Not car related"
"Who was the first woman to fly in space?", "Not car related"
"What is the longest river in Australia?", "Not car related"
"What is the capital city of Malaysia?", "Not car related"
"Who composed the 'Piano Concerto No. 21'?", "Not car related"
"What is the most common blood type?", "Not car related"
"What is the largest planet in our solar system?", "Not car related"
"What is the most common color of a flamingo?", "Not car related"
"How many players are on a soccer team?", "Not car related"
"What is the smallest breed of dog?", "Not car related"
"Who invented the first typewriter?", "Not car related"
"What is the name of the famous painting of a woman with a mysterious smile?", "Not car related"
"What is the primary ingredient in a Caesar salad dressing?", "Not car related"
"What type of animal is a Komodo dragon?", "Not car related"
"What is the national flower of Japan?", "Not car related"
"How many colors are there in a rainbow?", "Not car related"
"What is the largest organ in the human body?", "Not car related"
"What type of tree produces acorns?", "Not car related"
"Who is known as the 'Father of the Theory of Evolution'?", "Not car related"
"What is the capital of Sweden?", "Not car related"
"What is the chemical formula for table salt?", "Not car related"
"What is the most common gas in the Earth's atmosphere?", "Not car related"
"What type of animal is a koala?", "Not car related"
"What is the name of the process by which plants make their own food?", "Not car related"
"What is the currency used in Japan?", "Not car related"
"What is the largest species of shark?", "Not car related"
"What is the name of the study of living organisms?", "Not car related"
"Who wrote the play 'Hamlet'?", "Not car related"
"What is the most abundant metal in the Earth's crust?", "Not car related"
"What is the name of the process by which a caterpillar becomes a butterfly?", "Not car related"
"What is the main ingredient in a traditional French omelet?", "Not car related"
"What is the fastest land animal?", "Not car related"
"What is the longest river in the United States?", "Not car related"
"What is the name of the force that keeps us grounded on Earth?", "Not car related"
"Who painted 'The Starry Night'?", "Not car related"
"What is the primary language spoken in Brazil?", "Not car related"
"What is the hardest known natural material?", "Not car related"
"What is the name of the imaginary line that divides the Earth into the Northern and Southern Hemispheres?", "Not car related"
"What is the name of the practice of growing plants in water instead of soil?", "Not car related"
"Who was the first person to reach the South Pole?", "Not car related"
"What is the smallest country in Europe?", "Not car related"
"What is the primary ingredient in sushi?", "Not car related"
"What is the name of the place where the Pacific and Atlantic Oceans meet?", "Not car related"
"Who wrote 'Pride and Prejudice'?", "Not car related"
"What is the capital of Canada?", "Not car related"
"What is the most common element in the human body?", "Not car related"
"What is the name of the world's largest coral reef system?", "Not car related"
"Who invented the first successful airplane?", "Not car related"
"What is the longest bone in the human body?", "Not car related"
"What is the name of the famous statue in Rio de Janeiro?", "Not car related"
"What is the primary ingredient in traditional Italian pesto?", "Not car related"
"What is the name of the first manned mission to the Moon?", "Not car related"
"What is the fastest bird in the world?", "Not car related"
"What is the capital of Australia?", "Not car related"
"What is the largest desert in the world?", "Not car related"
"What is the name of the device used to measure temperature?", "Not car related"
"Who was the first female Prime Minister of the United Kingdom?", "Not car related"
"What is the most common type of tree found in a tropical rainforest?", "Not car related"
"What is the name of the famous ancient monument in Egypt?", "Not car related"
"What is the primary language spoken in Egypt?", "Not car related"
"What is the name of the process that turns liquid water into vapor?", "Not car related"
"What is the smallest planet in our solar system?", "Not car related"
"What is the name of the largest land animal?", "Not car related"
"What is the main ingredient in a traditional Greek salad?", "Not car related"
"Who composed the music for 'The Nutcracker'?", "Not car related"
"What is the name of the largest moon of Jupiter?", "Not car related"
"What is the name of the scientific study of earthquakes?", "Not car related"
"What is the capital of Iceland?", "Not car related"
"What is the name of the famous clock tower in London?", "Not car related"
"What is the name of the world's largest ocean?", "Not car related"
"What is the name of the device used to measure atmospheric pressure?", "Not car related"
"What is the name of the process by which a seed develops into a new plant?", "Not car related"
"What is the most common type of tree in a temperate forest?", "Not car related"
"Who wrote 'The Catcher in the Rye'?", "Not car related"
"What is the name of the famous ancient city in Greece known for its Parthenon?", "Not car related"
"What is the primary language spoken in Russia?", "Not car related"
"What is the capital of Italy?", "Not car related"
"What is the name of the ancient wonder located in Babylon?", "Not car related"
"What is the most common blood type in humans?", "Not car related"
"What is the name of the plant that produces coffee beans?", "Not car related"
"What is the name of the famous painting by Leonardo da Vinci?", "Not car related"
"What is the name of the largest lake in North America?", "Not car related"
"What is the name of the famous ancient city located in Turkey?", "Not car related"
"What is the name of the chemical element with the symbol 'O'?", "Not car related"
"What is the name of the famous pyramids located in Egypt?", "Not car related"
"What is the most common gas in the Earth's atmosphere?", "Not car related"
"Who was the first person to climb Mount Everest?", "Not car related"
"What is the name of the instrument used to measure wind speed?", "Not car related"
"What is the name of the famous ship that sank in 1912?", "Not car related"
"What is the primary language spoken in China?", "Not car related"
"What is the name of the largest waterfall in the world?", "Not car related"
"What is the name of the famous ancient structure in Rome?", "Not car related"
"What is the primary ingredient in traditional Japanese sushi?", "Not car related"
"What is the most common type of tree in a temperate rainforest?", "Not car related"
"Who wrote the novel '1984'?", "Not car related"
"What is the name of the famous ancient city located in Jordan?", "Not car related"
"What is the name of the process by which water is converted into ice?", "Not car related"
"What is the primary ingredient in a traditional Italian pizza?", "Not car related"
"What is the name of the famous natural landmark located in Arizona?", "Not car related"
"What is the most common type of tree found in a tropical rainforest?", "Not car related"
"What is the name of the famous ancient city located in Peru?", "Not car related"
"What is the name of the largest lake in South America?", "Not car related"
"What is the primary language spoken in France?", "Not car related"
"What is the name of the largest planet in our solar system?", "Not car related"
"What is the name of the famous ancient monument located in Greece?", "Not car related"
"What is the name of the scientific study of plants?", "Not car related"
"What is the primary ingredient in a traditional Mexican taco?", "Not car related"
"Can you tell me about the previous owners of the car?", "Car related"
"What is the make and model of the car?", "Car related"
"When was the car purchased?", "Car related"
"Can you provide the car's registration number?", "Car related"
"What color is the car?", "Car related"
"What is the car's current mileage?", "Car related"
"When was the last time the car was serviced?", "Car related"
"Is the car still under warranty?", "Car related"
"How many doors does the car have?", "Car related"
"What type of fuel does the car use?", "Car related"
"Can you tell me about the car's accident history?", "Car related"
"What is the car's VIN number?", "Car related"
"How many seats are in the car?", "Car related"
"What is the car's top speed?", "Car related"
"Can you show me the car's maintenance records?", "Car related"
"What is the car's fuel efficiency?", "Car related"
"How old is the car?", "Car related"
"What brand of tires does the car use?", "Car related"
"Has the car been recalled for any reason?", "Car related"
"What is the car's trim level?", "Car related"
"Can you show me the car's owner's manual?", "Car related"
"How many previous owners has the car had?", "Car related"
"Does the car have any aftermarket modifications?", "Car related"
"What is the car's resale value?", "Car related"
"How often should the car be serviced?", "Car related"
"Can you tell me about the car's safety features?", "Car related"
"What is the car's insurance status?", "Car related"
"Does the car have a spare tire?", "Car related"
"What kind of audio system does the car have?", "Car related"
"Can you show me how to connect my phone to the car?", "Car related"
"What is the car's towing capacity?", "Car related"
"How do I check the oil level in the car?", "Car related"
"What kind of headlights does the car have?", "Car related"
"Does the car have a sunroof?", "Car related"
"How do I open the car's trunk?", "Car related"
"Can you tell me about the car's history report?", "Car related"
"Does the car have heated seats?", "Car related"
"How do I adjust the car's mirrors?", "Car related"
"What kind of navigation system does the car have?", "Car related"
"Does the car have cruise control?", "Car related"
"How do I replace the car's windshield wipers?", "Car related"
"What is the car's engine size?", "Car related"
"How do I turn on the car's fog lights?", "Car related"
"Does the car have a backup camera?", "Car related"
"How do I change the car's air filter?", "Car related"
"Can you tell me about the car's entertainment system?", "Car related"
"What type of transmission does the car have?", "Car related"
"Does the car have Bluetooth capability?", "Car related"
"How do I check the tire pressure on the car?", "Car related"
"What is the car's curb weight?", "Car related"
"How do I use the car's remote start?", "Car related"
"Does the car have a roof rack?", "Car related"
"What kind of seats does the car have?", "Car related"
"How do I activate the car's parking sensors?", "Car related"
"Does the car have keyless entry?", "Car related"
"How do I fold down the car's rear seats?", "Car related"
"What kind of fuel economy does the car get?", "Car related"
"How do I use the car's navigation system?", "Car related"
"Does the car have a hands-free liftgate?", "Car related"
"How do I pair my phone with the car's Bluetooth?", "Car related"
"What is the car's maximum cargo capacity?", "Car related"
"How do I set up the car's infotainment system?", "Car related"
"Does the car have an emergency kit?", "Car related"
"What kind of warranty does the car come with?", "Car related"
"How do I activate the car's alarm system?", "Car related"
"Does the car have leather seats?", "Car related"
"How do I check the car's coolant level?", "Car related"
"What kind of brakes does the car have?", "Car related"
"How do I change the car's battery?", "Car related"
"Does the car have a navigation system?", "Car related"
"How do I use the car's voice commands?", "Car related"
"Does the car have automatic climate control?", "Car related"
"How do I adjust the car's seat position?", "Car related"
"What is the car's ground clearance?", "Car related"
"How do I use the car's lane-keeping assist?", "Car related"
"Does the car have a heads-up display?", "Car related"
"How do I clean the car's interior?", "Car related"
"What is the car's fuel tank capacity?", "Car related"
"How do I replace the car's cabin air filter?", "Car related"
"Does the car have an anti-theft system?", "Car related"
"How do I check the car's brake fluid level?", "Car related"
"What kind of suspension does the car have?", "Car related"
"How do I use the car's adaptive cruise control?", "Car related"
"Does the car have a panoramic sunroof?", "Car related"
"How do I replace the car's spark plugs?", "Car related"
"What is the car's horsepower?", "Car related"
"How do I use the car's remote key fob?", "Car related"
"Does the car have a digital instrument cluster?", "Car related"
"How do I adjust the car's steering wheel?", "Car related"
"What is the car's maximum speed?", "Car related"
"How do I use the car's tire pressure monitoring system?", "Car related"
"Does the car have a surround-view camera?", "Car related"
"How do I check the car's transmission fluid?", "Car related"
"What is the car's torque?", "Car related"
"How do I use the car's remote engine start?", "Car related"
"Does the car have a hands-free calling feature?", "Car related"
"How do I change the car's headlight bulb?", "Car related"
"What kind of exhaust system does the car have?", "Car related"
"How do I open the car's fuel door?", "Car related"
"Does the car have an automatic braking system?", "Car related"
